session,time,distance,per,hand,num,audio,ide,label
1552,26,0.684816105,0.430769231,0.408325846,14.46153846,0.438858274,0,0
1553,26,1.035399766,0.753846154,0.756197628,12.87692308,1.123753453,1,0
1554,26,1.013264441,0.769230769,0.537814163,12.72307692,0.818747919,0,0
1555,26,0.991129115,0.784615385,0.319430697,12.56923077,0.513742384,2,0
1556,26,0.968993789,0.8,0.101047232,12.41538462,0.208736849,0,0
1557,26,0.354378975,0.343789747,0.274378975,0.274378975,0.274378975,1,0
1572,26,0.358503219,0.492307692,0.511649563,14.21538462,0.885509411,0,0
1573,26,0.362627464,0.580487195,0.489123702,8.067958718,0.765827706,2,0
1578,26,0.366751708,0.430769231,0.564122536,7.347704308,0.883922027,0,0
1583,26,0.370875953,0.753846154,0.63912137,6.627449898,1.002016347,1,0
1589,26,0.375000197,0.769230769,0.714120204,5.907195487,1.120110668,0,0
1594,26,0.379124442,0.784615385,0.789119038,5.186941077,1.238204988,2,0
1599,26,0.303248686,0.8,0.864117872,4.466686667,1.356299309,0,0
1604,26,0.307372931,0.274378975,0.939116706,3.746432257,1.47439363,0,0
1609,26,0.311497175,0.276923077,1.01411554,3.026177847,1.59248795,1,0
1615,26,0.31562142,0.218048719,1.089114374,2.305923436,1.710582271,1,0
1620,26,0.319745664,0.276923077,1.164113208,1.585669026,1.828676591,0,0
1625,26,0.323869909,0.021804872,1.239112042,0.865414616,1.946770912,1,0
1630,26,0.327994153,0.276923077,1.314110876,0.145160206,2.064865232,0,0
1635,26,0.492118398,0.218048719,1.38910971,-0.575094205,2.182959553,2,0
1498,26,0.16242642,0.021804872,1.38910971,11.74177979,4.62128573,3,1
1514,26,0.274378975,0.248717947,0.001163284,11.80573152,1.392918594,3,1
1530,26,0.278503219,0.179487178,0.122427886,11.86968326,2.164551458,4,1
1546,26,0.282627464,0.110256408,0.243692489,11.93363499,2.936184323,2,1
1562,26,0.286751708,0.738461538,0.364957092,11.99758673,2.907817187,5,1
1578,26,0.286751708,0.802564103,0.486221694,12.06153846,1.392918594,5,1
1594,26,0.289501204,0.733333333,0.607486297,12.1254902,2.164551458,5,1
1595,26,0.291563327,0.664102564,0.123514102,12.83076923,2.936184323,6,1
1606,26,0.293625449,0.594871794,0.043033105,13.10849673,3.707817187,5,1
1615,26,0.295687571,0.525641025,0.243692489,13.49311212,1.392918594,1,1
1623,26,0.297749693,0.456410256,0.364957092,13.8777275,2.164551458,3,1
1632,26,0.299811816,0.387179486,0.486221694,14.26234289,2.936184323,3,1
1640,26,0.301873938,0.317948717,0.607486297,14.64695827,3.707817187,4,1
1649,26,0.30393606,0.248717947,0.123514102,15.03157366,1.392918594,4,1
1657,26,0.305998182,0.179487178,0.043033105,15.41618905,2.164551458,5,1
1666,26,0.110256408,0.110256408,0.123514102,15.80080443,2.936184323,5,1
